apex flight line; row in apex data; col in apex data; cell geometry; cell area; percentage of deviations; percentage of cell in roof
south;6785;808;LINESTRING (91849.20711627591 432014.3064743737, 91845.93567834428 432014.5755337609, 91841.72179369879 432014.9840181191, 91842.09073649804 432011.3913031444, 91846.29173593549 432011.0557221731, 91849.57533126028 432010.7137345676, 91849.20711627591 432014.3064743737);26.373021313105824;0.23949671422746924;0.9999999999999999
south;6785;809;LINESTRING (91849.57433601293 432010.7204811314, 91846.29173593549 432011.0557221731, 91842.0893773493 432011.3980368922, 91842.45837347585 432007.804803042, 91846.65914626904 432007.4693239098, 91849.94260436381 432007.1272210319, 91849.57433601293 432010.7204811314);26.61900177954004;0.3343967670716162;0.9966066272353435
south;6785;810;LINESTRING (91849.94274159762 432007.1273363432, 91846.65914626904 432007.4693239098, 91842.45814682808 432007.8049048323, 91842.8145192587 432004.2884294893, 91847.02736568329 432003.8794475281, 91850.31068684091 432003.5372292849, 91849.94274159762 432007.1273363432);26.47472684297915;0.17526085379972348;0.9987923020052678
south;6786;808;LINESTRING (91841.73331976181 432014.9178485272, 91837.51943506021 432015.3263329043, 91834.88879343518 432015.7717033683, 91835.25758335198 432012.1805180712, 91837.88837785569 432011.7336178819, 91842.0893773493 432011.3980368922, 91841.73331976181 432014.9178485272);24.112753979778127;0.15375475479833534;0.9999999999999999
south;6786;809;LINESTRING (91842.09073649804 432011.3913031444, 91837.88837785569 432011.7336178819, 91835.25754950433 432012.1804123062, 91835.626613288 432008.5873902552, 91838.2573739787 432008.1403839785, 91842.45814682808 432007.8049048323, 91842.09073649804 432011.3913031444);24.245927224936022;0.2688546442300941;1.0
south;6786;810;LINESTRING (91842.45837347585 432007.804803042, 91838.2573739787 432008.1403839785, 91835.62657947019 432008.5872841413, 91835.9841966354 432005.0642486745, 91838.6137464059 432004.6239085916, 91842.8265928866 432004.2149266083, 91842.45837347585 432007.804803042);23.91225395347037;0.26460654098445285;0.8727617631808157
south;6787;808;LINESTRING (91834.88860671382 432015.7731273636, 91832.25796506752 432016.2184978312, 91828.65724283957 432016.5389893088, 91829.01480960895 432013.0191959402, 91832.62675497937 432012.6273125054, 91835.25754950433 432012.1804123062, 91834.88860671382 432015.7731273636);21.977765855184042;0.0;1.0000000000000002
south;6787;809;LINESTRING (91835.25758335198 432012.1805180712, 91832.62675497937 432012.6273125054, 91829.02589300825 432012.9503390241, 91829.38414243271 432009.4263121839, 91832.99581875821 432009.0342904216, 91835.62657947019 432008.5872841413, 91835.25758335198 432012.1805180712);21.990842901201024;0.2112513422412289;1.0000000000000002
south;6787;810;LINESTRING (91835.626613288 432008.5873902552, 91832.99581875821 432009.0342904216, 91829.38387338351 432009.4261738147, 91829.75315069059 432005.836583422, 91833.35343591892 432005.5112549322, 91835.98298571032 432005.070914838, 91835.626613288 432008.5873902552);21.793332905714497;0.24383806911405834;0.776901956944068
south;6788;808;LINESTRING (91828.65710309979 432016.5415243946, 91825.05638083071 432016.8620158853, 91822.62393834516 432017.312849191, 91822.99307788756 432013.724312808, 91825.41394759655 432013.3422224675, 91829.02589300825 432012.9503390241, 91828.65710309979 432016.5415243946);21.166335358489754;0.24963678932021993;0.9999999999999997
south;6788;809;LINESTRING (91829.01480960895 432013.0191959402, 91825.41394759655 432013.3422224675, 91822.98225712279 432013.7891989567, 91823.34008312957 432010.2692634327, 91825.77219701689 432009.8181955903, 91829.38387338351 432009.4261738147, 91829.01480960895 432013.0191959402);21.107328144999776;0.22005782728802237;1.0
south;6789;807;LINESTRING (91822.25504666113 432020.9010944275, 91819.8225070748 432021.3518203491, 91817.25555986217 432021.4413552771, 91817.6253612836 432017.8494634824, 91820.19224785815 432017.7598257134, 91822.62393834516 432017.312849191, 91822.25504666113 432020.9010944275);17.752909914226837;0.23428780444738476;0.7392438410745364
south;6789;808;LINESTRING (91822.62469036176 432017.3089923983, 91820.19224785815 432017.7598257134, 91817.62533097017 432017.8494119621, 91817.99453418201 432014.2609765631, 91820.56138739557 432014.1712892952, 91822.98225712279 432013.7891989567, 91822.62469036176 432017.3089923983);17.651552854405754;0.18169517812856031;1.0
