building gmlid; roof surface gmlid; apex flight line; row in apex data; col in apex data; cell geometry; cell area; percentage of deviations; percentage of cell in roof
ID_0599100000700653;RCID_6224e1d0-a1f3-42b4-bd75-040227a2b1d4;south;6583;252;LINESTRING (92569.16753160194 434072.2541020388, 92567.30998039237 434072.1379687295, 92565.33800307117 434071.9722832736, 92565.69216993413 434068.3853551406, 92567.66400018029 434068.5510354671, 92569.52134491887 434068.6671713131, 92569.16753160194 434072.2541020388);13.835390935410587;0.07984981428550328;1.0
ID_0599100000700653;RCID_6224e1d0-a1f3-42b4-bd75-040227a2b1d4;south;6584;253;LINESTRING (92565.69216993413 434068.3853551406, 92563.7202661436 434068.2196722385, 92561.76278600769 434067.7720288589, 92562.11689340073 434064.1856018527, 92564.07438936399 434064.6331865418, 92566.04614609809 434064.7988643156, 92565.69216993413 434068.3853551406);14.309557590185824;0.0;1.0
ID_0599100000700653;RCID_c3c11e38-e4a3-43e7-b830-e38522d22219;south;6588;250;LINESTRING (92548.57137290033 434077.1505676099, 92546.26514337791 434077.2185370257, 92543.95461694401 434077.3781526858, 92544.30819475991 434073.793402727, 92546.61846458449 434073.6338574743, 92548.92482131315 434073.5659771297, 92548.57137290033 434077.1505676099);16.468930103374632;0.020041416412139995;1.0
ID_0599100000700653;RCID_c3c11e38-e4a3-43e7-b830-e38522d22219;south;6589;249;LINESTRING (92543.60089154055 434080.9669335622, 92541.29023660472 434081.1265847425, 92539.60929982724 434080.7261115817, 92539.96306424227 434077.137292247, 92541.64421894567 434077.5377330318, 92543.95461694401 434077.3781526858, 92543.60089154055 434080.9669335622);14.410282106327111;0.20772840739084086;1.0
ID_0599100000700653;RCID_c3c11e38-e4a3-43e7-b830-e38522d22219;south;6589;250;LINESTRING (92543.95474539671 434077.3781173685, 92541.64421894567 434077.5377330318, 92539.96317319479 434077.1372761101, 92540.31653335685 434073.5525582203, 92541.99779676014 434073.9529830444, 92544.30806660198 434073.7934377889, 92543.95474539671 434077.3781173685);14.393750054765423;0.0008837443635598827;1.0
ID_0599100000700653;RCID_c3c11e38-e4a3-43e7-b830-e38522d22219;south;6591;247;LINESTRING (92534.7568960216 434087.3742330175, 92532.29337388357 434087.2438542934, 92530.34666248332 434087.2307702434, 92530.69985807882 434083.6409071325, 92532.64687888022 434083.6540696652, 92535.11074916806 434083.7845126845, 92534.7568960216 434087.3742330175);15.883726706196752;0.20956170303573865;1.0
ID_0599100000700653;RCID_c3c11e38-e4a3-43e7-b830-e38522d22219;south;6591;249;LINESTRING (92535.46420974637 434080.1951795635, 92533.00033946053 434080.0647365199, 92531.05331865972 434080.05157396, 92531.40642564843 434076.4626123121, 92533.35375580339 434076.4758530324, 92535.81797416866 434076.6063601844, 92535.46420974637 434080.1951795635);15.882149398268346;0.33732482781193485;1.0
ID_0599100000700653;RCID_c3c11e38-e4a3-43e7-b830-e38522d22219;south;6592;248;LINESTRING (92530.69985807882 434083.6409071325, 92528.75299195983 434083.6277837827, 92526.36516487852 434083.3244557212, 92526.71778994647 434079.7350072452, 92529.10614316339 434080.0383722946, 92531.05331865972 434080.05157396, 92530.69985807882 434083.6409071325);15.67216278660736;0.3107779248847319;1.0
ID_0599100000700653;RCID_c3c11e38-e4a3-43e7-b830-e38522d22219;south;6592;249;LINESTRING (92531.05316397664 434080.0515348515, 92529.10614316339 434080.0383722946, 92526.71805299754 434079.7350257403, 92527.07063392588 434076.146027006, 92529.45925015284 434076.449410622, 92531.40658031973 434076.4626513391, 92531.05316397664 434080.0515348515);15.671718618553491;0.5394711210197038;1.0
ID_0599100000658067;RCID_de314311-0b5c-4614-8829-b09428b9010f;south;6681;752;LINESTRING (92322.35692635196 432256.1636375397, 92319.82500139267 432255.4973165779, 92318.31445494786 432254.7228826046, 92318.66369125582 432251.1610781481, 92320.1739166796 432251.9356397211, 92322.70537553984 432252.6020180965, 92322.35692635196 432256.1636375397);14.899301517228075;0.10965222658740012;1.0
